date,base,currency,rate
2023-12-29,EUR,AUD,1.6263
2023-12-29,EUR,BGN,1.9558
2023-12-29,EUR,BRL,5.3618
2023-12-29,EUR,CAD,1.4642
2023-12-29,EUR,CHF,0.926
2023-12-29,EUR,CNY,7.8509
2023-12-29,EUR,CZK,24.724
2023-12-29,EUR,DKK,7.4529
2023-12-29,EUR,GBP,0.86905
2023-12-29,EUR,HKD,8.6314
2023-12-29,EUR,HUF,382.8
2023-12-29,EUR,IDR,17080.0
2023-12-29,EUR,ILS,3.9993
2023-12-29,EUR,INR,91.9
2023-12-29,EUR,ISK,150.5
2023-12-29,EUR,JPY,156.33
2023-12-29,EUR,KRW,1433.66
2023-12-29,EUR,MXN,18.7231
2023-12-29,EUR,MYR,5.0775
2023-12-29,EUR,NOK,11.2405
2023-12-29,EUR,NZD,1.7504
2023-12-29,EUR,PHP,61.283
2023-12-29,EUR,PLN,4.3395
2023-12-29,EUR,RON,4.9756
2023-12-29,EUR,SEK,11.096
2023-12-29,EUR,SGD,1.4591
2023-12-29,EUR,THB,37.973
2023-12-29,EUR,TRY,32.653
2023-12-29,EUR,USD,1.105
2023-12-29,EUR,ZAR,20.348
2024-01-02,EUR,AUD,1.6147
2024-01-02,EUR,BGN,1.9558
2024-01-02,EUR,BRL,5.3562
2024-01-02,EUR,CAD,1.4565
2024-01-02,EUR,CHF,0.9305
2024-01-02,EUR,CNY,7.8264
2024-01-02,EUR,CZK,24.687
2024-01-02,EUR,DKK,7.4551
2024-01-02,EUR,GBP,0.86645
2024-01-02,EUR,HKD,8.5609
2024-01-02,EUR,HUF,382.1
2024-01-02,EUR,IDR,17008.0
2024-01-02,EUR,ILS,3.9705
2024-01-02,EUR,INR,91.28
2024-01-02,EUR,ISK,150.7
2024-01-02,EUR,JPY,155.68
2024-01-02,EUR,KRW,1438.78
2024-01-02,EUR,MXN,18.6887
2024-01-02,EUR,MYR,5.0425
2024-01-02,EUR,NOK,11.2815
2024-01-02,EUR,NZD,1.7471
2024-01-02,EUR,PHP,60.981
2024-01-02,EUR,PLN,4.3708
2024-01-02,EUR,RON,4.9705
2024-01-02,EUR,SEK,11.1545
2024-01-02,EUR,SGD,1.4533
2024-01-02,EUR,THB,37.563
2024-01-02,EUR,TRY,32.568
2024-01-02,EUR,USD,1.0956
2024-01-02,EUR,ZAR,20.366
2024-01-03,EUR,AUD,1.6236
2024-01-03,EUR,BGN,1.9558
2024-01-03,EUR,BRL,5.3859
2024-01-03,EUR,CAD,1.4574
2024-01-03,EUR,CHF,0.9322
2024-01-03,EUR,CNY,7.8057
2024-01-03,EUR,CZK,24.675
2024-01-03,EUR,DKK,7.4581
2024-01-03,EUR,GBP,0.8647
2024-01-03,EUR,HKD,8.5257
2024-01-03,EUR,HUF,380.75
2024-01-03,EUR,IDR,16994.0
2024-01-03,EUR,ILS,3.9867
2024-01-03,EUR,INR,90.96
2024-01-03,EUR,ISK,150.7
2024-01-03,EUR,JPY,156.16
2024-01-03,EUR,KRW,1432.28
2024-01-03,EUR,MXN,18.6682
2024-01-03,EUR,MYR,5.0566
2024-01-03,EUR,NOK,11.32
2024-01-03,EUR,NZD,1.7515
2024-01-03,EUR,PHP,60.699
2024-01-03,EUR,PLN,4.3638
2024-01-03,EUR,RON,4.9725
2024-01-03,EUR,SEK,11.1915
2024-01-03,EUR,SGD,1.4503
2024-01-03,EUR,THB,37.616
2024-01-03,EUR,TRY,32.518
2024-01-03,EUR,USD,1.0919
2024-01-03,EUR,ZAR,20.533
2024-01-04,EUR,AUD,1.628
2024-01-04,EUR,BGN,1.9558
2024-01-04,EUR,BRL,5.3761
2024-01-04,EUR,CAD,1.4603
2024-01-04,EUR,CHF,0.9313
2024-01-04,EUR,CNY,7.833
2024-01-04,EUR,CZK,24.652
2024-01-04,EUR,DKK,7.459
2024-01-04,EUR,GBP,0.86278
2024-01-04,EUR,HKD,8.5523
2024-01-04,EUR,HUF,378.85
2024-01-04,EUR,IDR,16994.0
2024-01-04,EUR,ILS,3.9973
2024-01-04,EUR,INR,91.17
2024-01-04,EUR,ISK,150.5
2024-01-04,EUR,JPY,157.91
2024-01-04,EUR,KRW,1434.25
2024-01-04,EUR,MXN,18.6124
2024-01-04,EUR,MYR,5.0762
2024-01-04,EUR,NOK,11.2845
2024-01-04,EUR,NZD,1.7528
2024-01-04,EUR,PHP,60.833
2024-01-04,EUR,PLN,4.346
2024-01-04,EUR,RON,4.9733
2024-01-04,EUR,SEK,11.1905
2024-01-04,EUR,SGD,1.4546
2024-01-04,EUR,THB,37.75
2024-01-04,EUR,TRY,32.609
2024-01-04,EUR,USD,1.0953
2024-01-04,EUR,ZAR,20.427
2024-01-05,EUR,AUD,1.6337
2024-01-05,EUR,BGN,1.9558
2024-01-05,EUR,BRL,5.3724
2024-01-05,EUR,CAD,1.46
2024-01-05,EUR,CHF,0.932
2024-01-05,EUR,CNY,7.813
2024-01-05,EUR,CZK,24.616
2024-01-05,EUR,DKK,7.4584
2024-01-05,EUR,GBP,0.8621
2024-01-05,EUR,HKD,8.5297
2024-01-05,EUR,HUF,378.23
2024-01-05,EUR,IDR,16967.0
2024-01-05,EUR,ILS,4.0194
2024-01-05,EUR,INR,90.81
2024-01-05,EUR,ISK,150.5
2024-01-05,EUR,JPY,158.57
2024-01-05,EUR,KRW,1439.64
2024-01-05,EUR,MXN,18.6066
2024-01-05,EUR,MYR,5.0826
2024-01-05,EUR,NOK,11.309
2024-01-05,EUR,NZD,1.7564
2024-01-05,EUR,PHP,60.704
2024-01-05,EUR,PLN,4.3568
2024-01-05,EUR,RON,4.9737
