currency,rate,base,date
AUD,1.7514,EUR,2025-06-09
BGN,1.9558,EUR,2025-06-09
BRL,6.3404,EUR,2025-06-09
CAD,1.5615,EUR,2025-06-09
CHF,0.9369,EUR,2025-06-09
CNY,8.1943,EUR,2025-06-09
CZK,24.793,EUR,2025-06-09
DKK,7.4603,EUR,2025-06-09
GBP,0.8424,EUR,2025-06-09
HKD,8.9547,EUR,2025-06-09
HUF,401.7,EUR,2025-06-09
IDR,18586.0,EUR,2025-06-09
ILS,3.9761,EUR,2025-06-09
INR,97.74,EUR,2025-06-09
ISK,144.0,EUR,2025-06-09
JPY,164.88,EUR,2025-06-09
KRW,1547.7,EUR,2025-06-09
MXN,21.751,EUR,2025-06-09
MYR,4.8287,EUR,2025-06-09
NOK,11.509,EUR,2025-06-09
NZD,1.8874,EUR,2025-06-09
PHP,63.688,EUR,2025-06-09
PLN,4.27,EUR,2025-06-09
RON,5.0405,EUR,2025-06-09
SEK,10.97,EUR,2025-06-09
SGD,1.4676,EUR,2025-06-09
THB,37.316,EUR,2025-06-09
TRY,44.758,EUR,2025-06-09
USD,1.141,EUR,2025-06-09
ZAR,20.241,EUR,2025-06-09
